X=3726.242 Y=-525.455 Z=1377.844 F=46;
﻿X=2783.045 Y=1297.452 Z=1406.743 F=78;
﻿X=2681.009 Y=-108.353 Z=1270.444 F=122;
﻿X=1513.170 Y=-1325.480 Z=1260.788 F=171;
﻿X=2274.491 Y=282.675 Z=1311.356 F=215;
﻿X=3769.590 Y=-918.632 Z=1398.733 F=233;
﻿X=2773.167 Y=-415.101 Z=1324.247 F=267;
﻿X=1144.654 Y=1546.092 Z=1342.534 F=289;
﻿X=2582.692 Y=-1286.221 Z=1330.757 F=326;
﻿X=3742.861 Y=-1550.584 Z=1299.027 F=343;
﻿X=1966.871 Y=791.968 Z=1307.184 F=377;
﻿X=2744.462 Y=1465.719 Z=1417.331 F=420;
﻿X=1645.073 Y=1245.985 Z=1353.767 F=459;
﻿X=1199.391 Y=-643.330 Z=1363.201 F=502;
﻿X=1792.433 Y=-1509.079 Z=1422.248 F=541;
﻿X=1831.016 Y=-423.304 Z=1283.212 F=577;
﻿X=3344.129 Y=402.502 Z=1433.697 F=609;
﻿X=1078.876 Y=1494.919 Z=1330.557 F=629;
﻿X=3040.228 Y=1508.981 Z=1343.911 F=646;
﻿X=3484.632 Y=-47.316 Z=1378.119 F=675;
﻿X=2512.033 Y=1216.883 Z=1302.156 F=693;
﻿X=2133.523 Y=-569.304 Z=1265.417 F=731;
﻿X=2335.736 Y=14.502 Z=1260.342 F=755;
﻿X=3888.710 Y=-1099.399 Z=1369.816 F=774;
﻿X=3807.360 Y=-1521.580 Z=1280.142 F=806;
﻿X=875.850 Y=-1299.991 Z=1275.237 F=834;
﻿X=504.428 Y=-958.379 Z=1274.892 F=874;
﻿X=1362.788 Y=-929.276 Z=1321.698 F=888;
﻿X=3174.107 Y=-340.684 Z=1251.500 F=917;
﻿X=2228.354 Y=157.768 Z=1287.560 F=968;
﻿X=946.276 Y=-655.342 Z=1285.005 F=1008;
﻿X=1303.286 Y=-327.012 Z=1288.486 F=1041;
﻿X=2449.510 Y=1222.449 Z=1400.743 F=1059;
