X=3519.729 Y=923.319 Z=1337.179 F=67;
﻿X=527.555 Y=500.552 Z=1274.341 F=126;
﻿X=2084.596 Y=409.046 Z=1435.982 F=154;
﻿X=878.406 Y=769.408 Z=1422.066 F=206;
﻿X=2567.816 Y=-860.720 Z=1303.082 F=230;
﻿X=1650.651 Y=1342.180 Z=1426.097 F=274;
﻿X=2507.501 Y=504.752 Z=1329.989 F=329;
﻿X=2295.410 Y=1066.976 Z=1331.600 F=377;
﻿X=771.605 Y=832.008 Z=1404.646 F=421;
﻿X=3282.419 Y=1521.580 Z=1314.156 F=457;
﻿X=4190.635 Y=1280.654 Z=1379.737 F=490;
﻿X=1952.228 Y=312.851 Z=1395.059 F=506;
﻿X=3110.422 Y=-55.422 Z=1354.916 F=532;
﻿X=1765.471 Y=523.795 Z=1267.602 F=556;
﻿X=3147.843 Y=-1354.778 Z=1355.197 F=589;
﻿X=3149.586 Y=-385.607 Z=1368.328 F=617;
﻿X=4172.738 Y=805.933 Z=1405.724 F=647;
﻿X=3238.606 Y=-534.440 Z=1431.389 F=692;
﻿X=1198.345 Y=-1043.635 Z=1279.884 F=724;
﻿X=3125.530 Y=885.330 Z=1371.668 F=757;
﻿X=445.275 Y=-1178.600 Z=1365.855 F=773;
﻿X=490.366 Y=777.709 Z=1332.673 F=795;
﻿X=557.306 Y=402.405 Z=1331.178 F=811;
﻿X=1643.562 Y=-1293.057 Z=1356.480 F=849;
﻿X=438.534 Y=170.269 Z=1271.147 F=888;
